Wavelength (nm),% Transmission,Optical Density
2497,18.98646,0.72156
2496,18.72518,0.72757
2495,18.48176,0.73326
2494,18.21853,0.73949
2493,17.94885,0.74596
2492,17.71486,0.75166
2491,17.46389,0.75786
2490,17.20761,0.76428
2489,16.94978,0.77084
2488,16.68719,0.77762
2487,16.40606,0.785
2486,16.15679,0.79165
2485,15.88628,0.79898
2484,15.61955,0.80633
2483,15.32746,0.81453
2482,15.04916,0.82249
2481,14.73294,0.83171
2480,14.42418,0.84091
2479,14.09674,0.85088
2478,13.7707,0.86104
2477,13.42086,0.87222
2476,13.08528,0.88322
2475,12.73677,0.89494
2474,12.37249,0.90754
2473,12.0448,0.9192
2472,11.69827,0.93188
2471,11.35946,0.94464
2470,11.04082,0.957
2469,10.72976,0.96941
2468,10.41477,0.98235
2467,10.13863,0.99402
2466,9.89393,1.00463
2465,9.65789,1.01512
2464,9.44325,1.02488
2463,9.26209,1.03329
2462,9.0984,1.04104
2461,8.94897,1.04823
2460,8.83368,1.05386
2459,8.73244,1.05886
2458,8.64001,1.06349
2457,8.58551,1.06623
2456,8.5466,1.06821
2455,8.51003,1.07007
2454,8.49458,1.07086
2453,8.49562,1.0708
2452,8.49156,1.07101
2451,8.5096,1.07009
2450,8.52361,1.06938
2449,8.54242,1.06842
2448,8.55864,1.0676
2447,8.58771,1.06612
2446,8.60681,1.06516
2445,8.62459,1.06426
2444,8.63955,1.06351
2443,8.65006,1.06298
2442,8.64789,1.06309
2441,8.64341,1.06331
2440,8.63948,1.06351
2439,8.61919,1.06453
2438,8.5872,1.06615
2437,8.56501,1.06727
2436,8.5198,1.06957
2435,8.47686,1.07176
2434,8.43303,1.07402
2433,8.37096,1.07722
2432,8.30611,1.0806
2431,8.24948,1.08357
2430,8.16435,1.08808
2429,8.08394,1.09238
2428,8.01122,1.0963
2427,7.91987,1.10128
2426,7.83609,1.1059
2425,7.74631,1.11091
2424,7.65598,1.116
2423,7.55766,1.12161
2422,7.46416,1.12702
2421,7.36966,1.13255
2420,7.26637,1.13868
2419,7.1675,1.14463
2418,7.06371,1.15097
2417,6.95803,1.15751
2416,6.85076,1.16426
2415,6.74626,1.17094
2414,6.63956,1.17786
2413,6.53526,1.18474
2412,6.43214,1.19164
2411,6.32152,1.19918
2410,6.21925,1.20626
2409,6.12104,1.21317
2408,6.02444,1.22008
2407,5.93151,1.22683
2406,5.84731,1.23304
2405,5.76089,1.23951
2404,5.67929,1.24571
2403,5.61175,1.2509
2402,5.53882,1.25658
2401,5.47605,1.26153
2400,5.41426,1.26646
2399,5.35665,1.27111
2398,5.29938,1.27577
2397,5.26161,1.27888
2396,5.22112,1.28224
2395,5.18012,1.28566
2394,5.14474,1.28864
2393,5.10936,1.29163
2392,5.0745,1.29461
2391,5.04321,1.29729
2390,5.01295,1.29991
2389,4.98884,1.302
2388,4.95664,1.30481
2387,4.92777,1.30735
2386,4.9008,1.30973
2385,4.87164,1.31232
2384,4.84407,1.31479
2383,4.81049,1.31781
2382,4.78481,1.32014
2381,4.7565,1.32271
2380,4.72521,1.32558
2379,4.69443,1.32842
2378,4.65897,1.33171
2377,4.62714,1.33469
2376,4.59199,1.338
2375,4.56409,1.34065
2374,4.53057,1.34385
2373,4.49745,1.34703
2372,4.46549,1.35013
2371,4.43208,1.35339
2370,4.39992,1.35656
2369,4.34323,1.36219
2368,4.27745,1.36881
2367,4.24931,1.37168
2366,4.22073,1.37461
2365,4.19196,1.37758
2364,4.16907,1.37996
2363,4.14881,1.38208
2362,4.12763,1.3843
2361,4.10424,1.38677
2360,4.08552,1.38875
2359,4.065,1.39094
2358,4.04721,1.39284
2357,4.02982,1.39471
2356,4.01401,1.39642
2355,3.99255,1.39875
2354,3.97918,1.40021
2353,3.96325,1.40195
2352,3.94638,1.4038
2351,3.93352,1.40522
2350,3.92098,1.40661
2349,3.90796,1.40805
2348,3.89107,1.40993
2347,3.87627,1.41159
2346,3.86596,1.41274
2345,3.85245,1.41426
2344,3.83467,1.41627
2343,3.81675,1.41831
2342,3.80432,1.41972
2341,3.78528,1.4219
2340,3.76633,1.42408
2339,3.74398,1.42667
2338,3.72292,1.42912
2337,3.69826,1.432
2336,3.669,1.43545
2335,3.6384,1.43909
2334,3.61322,1.44211
2333,3.57276,1.447
2332,3.53145,1.45205
2331,3.49522,1.45653
2330,3.45637,1.46138
2329,3.40829,1.46746
2328,3.37036,1.47232
2327,3.31874,1.47903
2326,3.27159,1.48524
2325,3.22538,1.49142
2324,3.17774,1.49788
2323,3.13005,1.50445
2322,3.07985,1.51147
2321,3.03694,1.51756
2320,2.99136,1.52413
2319,2.95102,1.53003
2318,2.91246,1.53574
2317,2.87602,1.54121
2316,2.84555,1.54583
2315,2.81897,1.54991
2314,2.78801,1.55471
2313,2.76829,1.55779
2312,2.7482,1.56095
2311,2.73001,1.56384
2310,2.71829,1.5657
2309,2.70911,1.56717
2308,2.70215,1.56829
2307,2.70012,1.56862
2306,2.70866,1.56724
2305,2.7226,1.56502
2304,2.74189,1.56195
2303,2.7569,1.55958
2302,2.78049,1.55588
2301,2.80665,1.55181
2300,2.83621,1.54726
2299,2.86395,1.54303
2298,2.89963,1.53766
2297,2.93608,1.53223
2296,2.9747,1.52656
2295,3.01631,1.52052
2294,3.06099,1.51414
2293,3.10331,1.50818
2292,3.15395,1.50114
2291,3.19773,1.49516
2290,3.25145,1.48792
2289,3.30848,1.48037
2288,3.36625,1.47285
2287,3.42548,1.46528
2286,3.48905,1.45729
2285,3.55368,1.44932
2284,3.62187,1.44107
2283,3.69603,1.43226
2282,3.7723,1.42339
2281,3.85741,1.4137
2280,3.94663,1.40377
2279,4.03683,1.39396
2278,4.13244,1.38379
2277,4.2364,1.373
2276,4.35097,1.36141
2275,4.47353,1.34935
2274,4.59955,1.33729
2273,4.7316,1.32499
2272,4.8695,1.31252
2271,5.01837,1.29944
2270,5.16776,1.2867
2269,5.3344,1.27291
2268,5.50419,1.25931
2267,5.67213,1.24625
2266,5.8424,1.23341
2265,6.01899,1.22048
2264,6.20639,1.20716
2263,6.39563,1.19412
2262,6.59654,1.18068
2261,6.77765,1.16892
2260,6.9781,1.15626
2259,7.18247,1.14373
2258,7.41845,1.12969
2257,7.65788,1.11589
2256,7.91145,1.10174
2255,8.16209,1.0882
2254,8.40585,1.07542
2253,8.65482,1.06274
2252,8.9019,1.05052
2251,9.14767,1.03869
2250,9.40194,1.02678
2249,9.65668,1.01517
2248,9.90042,1.00435
2247,10.13858,0.99402
2246,10.36355,0.98449
2245,10.59021,0.9751
2244,10.82224,0.96568
2243,11.06262,0.95614
2242,11.29956,0.94694
2241,11.51074,0.9389
2240,11.72094,0.93104
2239,11.93745,0.92309
2238,12.15379,0.91529
2237,12.37753,0.90737
2236,12.59885,0.89967
2235,12.81089,0.89242
2234,13.03002,0.88505
2233,13.21977,0.87878
2232,13.43811,0.87166
2231,13.67603,0.86404
2230,13.89677,0.85709
2229,14.11833,0.85022
2228,14.34626,0.84326
2227,14.56746,0.83662
2226,14.80472,0.8296
2225,15.02029,0.82332
2224,15.25242,0.81666
2223,15.48535,0.81008
2222,15.70721,0.8039
2221,15.93497,0.79765
2220,16.16322,0.79147
2219,16.35018,0.78648
2218,16.57726,0.78049
2217,16.77332,0.77538
2216,17.03421,0.76868
2215,17.2393,0.76348
2214,17.42915,0.75872
2213,17.64176,0.75346
2212,17.85364,0.74827
2211,18.08696,0.74263
2210,18.35334,0.73628
2209,18.56405,0.73133
2208,18.78129,0.72627
2207,19.02935,0.72058
2206,19.29829,0.71448
2205,19.58045,0.70818
2204,19.88591,0.70145
2203,20.13939,0.69595
2202,20.40067,0.69036
2201,20.62859,0.68553
2200,20.88692,0.68013
2199,21.17965,0.67408
2198,21.46521,0.66826
2197,21.73639,0.66281
2196,21.97568,0.65806
2195,22.19851,0.65368
2194,22.44043,0.64897
2193,22.70929,0.6438
2192,22.99717,0.63833
2191,23.23653,0.63383
2190,23.47561,0.62938
2189,23.71113,0.62505
2188,23.99941,0.6198
2187,24.30196,0.61436
2186,24.61807,0.60875
2185,24.88984,0.60398
2184,25.16075,0.59928
2183,25.42866,0.59468
2182,25.74015,0.58939
2181,26.0922,0.58349
2180,26.34345,0.57933
2179,26.58997,0.57528
2178,26.81302,0.57165
2177,27.01792,0.56835
2176,27.21391,0.56521
2175,27.39552,0.56232
2174,27.48174,0.56096
2173,27.49034,0.56082
2172,27.50361,0.56061
2171,27.4971,0.56071
2170,27.43854,0.56164
2169,27.39996,0.56225
2168,27.32382,0.56346
2167,27.2307,0.56494
2166,27.14985,0.56623
2165,27.1831,0.5657
2164,27.32058,0.56351
2163,27.42508,0.56185
2162,27.56969,0.55957
2161,27.80019,0.55595
2160,28.07744,0.55164
2159,28.48748,0.54535
2158,28.88909,0.53927
2157,29.31341,0.53293
2156,29.71292,0.52705
2155,30.09665,0.52148
2154,30.50801,0.51559
2153,30.93527,0.50955
2152,31.32368,0.50413
2151,31.60334,0.50027
2150,31.86724,0.49666
2149,32.06383,0.49398
2148,32.27668,0.49111
2147,32.43499,0.48899
2146,32.52435,0.48779
2145,32.53854,0.4876
2144,32.54443,0.48752
2143,32.5269,0.48776
2142,32.51109,0.48797
2141,32.49699,0.48816
2140,32.42043,0.48918
2139,32.39477,0.48953
2138,32.3866,0.48963
2137,32.47435,0.48846
2136,32.58733,0.48695
2135,32.7321,0.48503
2134,32.96511,0.48195
2133,33.21279,0.47869
2132,33.54244,0.47441
2131,33.88708,0.46997
2130,34.2495,0.46535
2129,34.60513,0.46086
2128,34.9685,0.45632
2127,35.29175,0.45233
2126,35.60676,0.44847
2125,35.86663,0.44531
2124,36.10054,0.44249
2123,36.25716,0.44061
2122,36.46375,0.43814
2121,36.62696,0.4362
2120,36.80703,0.43407
2119,36.95885,0.43228
2118,37.06968,0.43098
2117,37.22421,0.42917
2116,37.38276,0.42733
2115,37.52007,0.42574
2114,37.62292,0.42455
2113,37.71931,0.42344
2112,37.83138,0.42215
2111,37.94857,0.4208
2110,38.09404,0.41914
2109,38.21759,0.41774
2108,38.24886,0.41738
2107,38.34805,0.41626
2106,38.43709,0.41525
2105,38.56921,0.41376
2104,38.67754,0.41254
2103,38.6947,0.41235
2102,38.76613,0.41155
2101,38.85291,0.41058
2100,38.90195,0.41003
2099,38.98201,0.40914
2098,39.06242,0.40824
2097,39.11798,0.40762
2096,39.17685,0.40697
2095,39.23971,0.40627
2094,39.29191,0.4057
2093,39.33638,0.40521
2092,39.35705,0.40498
2091,39.36486,0.40489
2090,39.5054,0.40334
2089,39.53258,0.40304
2088,39.54863,0.40287
2087,39.54151,0.40295
2086,39.61806,0.40211
2085,39.63546,0.40192
2084,39.65367,0.40172
2083,39.71739,0.40102
2082,39.69073,0.40131
2081,39.71931,0.401
2080,39.72028,0.40099
2079,39.81377,0.39997
2078,39.79684,0.40015
2077,39.7762,0.40038
2076,39.7338,0.40084
2075,39.7682,0.40046
2074,39.77066,0.40044
2073,39.73985,0.40077
2072,39.62436,0.40204
2071,39.63365,0.40194
2070,39.59202,0.40239
2069,39.59604,0.40235
2068,39.48298,0.40359
2067,39.41872,0.4043
2066,39.3667,0.40487
2065,39.25581,0.4061
2064,39.19925,0.40672
2063,39.07595,0.40809
2062,38.91751,0.40985
2061,38.72384,0.41202
2060,38.67292,0.41259
2059,38.53358,0.41416
2058,38.36667,0.41605
2057,38.13546,0.41867
2056,37.96408,0.42063
2055,37.82158,0.42226
2054,37.62429,0.42453
2053,37.4192,0.42691
2052,37.15614,0.42997
2051,36.94829,0.43241
2050,36.71859,0.43511
2049,36.53862,0.43725
2048,36.2796,0.44034
2047,35.99417,0.44377
2046,35.73785,0.44687
2045,35.50857,0.44967
2044,35.29087,0.45234
2043,34.98019,0.45618
2042,34.69453,0.45974
2041,34.44087,0.46293
2040,34.16897,0.46637
2039,33.94033,0.46928
2038,33.63649,0.47319
2037,33.2929,0.47765
2036,33.0358,0.48102
2035,32.78685,0.4843
2034,32.52891,0.48773
2033,32.2275,0.49177
2032,31.90577,0.49613
2031,31.61855,0.50006
2030,31.377,0.50339
2029,31.12427,0.5069
2028,30.79419,0.51153
2027,30.45275,0.51637
2026,30.20624,0.5199
2025,29.94219,0.52372
2024,29.64875,0.52799
2023,29.34102,0.53252
2022,29.05012,0.53685
2021,28.75082,0.54135
2020,28.54437,0.54448
2019,28.26468,0.54876
2018,27.92724,0.55397
2017,27.64562,0.55837
2016,27.39581,0.56232
2015,27.17098,0.56589
2014,26.91217,0.57005
2013,26.60834,0.57498
2012,26.365,0.57897
2011,26.16931,0.58221
2010,25.9261,0.58626
2009,25.67779,0.59044
2008,25.43464,0.59457
2007,25.19397,0.5987
2006,25.01692,0.60177
2005,24.82771,0.60506
2004,24.59041,0.60923
