Wavelength (nm),% Transmission,,
1437,86.36954,,
1436,86.45054,,
1435,86.53475,,
1434,86.62681,,
1433,86.75159,,
1432,86.86302,,
1431,86.9767,,
1430,87.09469,,
1429,87.27733,,
1428,87.4026,,
1427,87.57408,,
1426,87.71969,,
1425,87.88195,,
1424,88.05171,,
1423,88.21395,,
1422,88.37697,,
1421,88.51313,,
1420,88.67986,,
1419,88.83019,,
1418,88.9169,,
1417,89.03542,,
1416,89.13712,,
1415,89.19305,,
1414,89.21542,,
1413,89.26398,,
1412,89.29346,,
1411,89.28019,,
1410,89.32588,,
1409,89.29279,,
1408,89.24558,,
1407,89.17241,,
1406,89.09597,,
1405,89.03217,,
1404,88.98429,,
1403,88.8332,,
1402,88.78545,,
1401,88.63066,,
1400,88.50822,,
1399,88.39584,,
1398,88.26628,,
1397,88.19273,,
1396,88.0395,,
1395,87.9403,,
1394,87.81643,,
1393,87.72796,,
1392,87.63172,,
1391,87.54376,,
1390,87.49622,,
1389,87.40002,,
1388,87.34964,,
1387,87.29159,,
1386,87.24993,,
1385,87.24428,,
1384,87.2349,,
1383,87.16249,,
1382,87.1544,,
1381,87.13964,,
1380,87.17618,,
1379,87.22588,,
1378,87.3244,,
1377,87.3568,,
1376,87.44781,,
1375,87.5279,,
1374,87.59594,,
1373,87.72493,,
1372,87.86382,,
1371,87.98794,,
1370,88.11521,,
1369,88.24972,,
1368,88.38359,,
1367,88.52671,,
1366,88.68556,,
1365,88.875,,
1364,89.05249,,
1363,89.25405,,
1362,89.42293,,
1361,89.60021,,
1360,89.74021,,
1359,89.84926,,
1358,89.91957,,
1357,90.10221,,
1356,90.25113,,
1355,90.39621,,
1354,90.53322,,
1353,90.66495,,
1352,90.78068,,
1351,90.83146,,
1350,90.88184,,
1349,90.91162,,
1348,90.93479,,
1347,90.95184,,
1346,90.9522,,
1345,90.91352,,
1344,90.85971,,
1343,90.80266,,
1342,90.72782,,
1341,90.64131,,
1340,90.54627,,
1339,90.44076,,
1338,90.29795,,
1337,90.1665,,
1336,90.0361,,
1335,89.86352,,
1334,89.67937,,
1333,89.52692,,
1332,89.34495,,
1331,89.16552,,
1330,88.985,,
1329,88.82898,,
1328,88.65362,,
1327,88.48927,,
1326,88.36,,
1325,88.2239,,
1324,88.06825,,
1323,87.9249,,
1322,87.79616,,
1321,87.66469,,
1320,87.56724,,
1319,87.50198,,
1318,87.44706,,
1317,87.39196,,
1316,87.34406,,
1315,87.32546,,
1314,87.32074,,
1313,87.32457,,
1312,87.34375,,
1311,87.39048,,
1310,87.44828,,
1309,87.55352,,
1308,87.67024,,
1307,87.75088,,
1306,87.8392,,
1305,87.9498,,
1304,88.08329,,
1303,88.23611,,
1302,88.39444,,
1301,88.53901,,
1300,88.68683,,
1299,88.85692,,
1298,89.01169,,
1297,89.1592,,
1296,89.3192,,
1295,89.48244,,
1294,89.63035,,
1293,89.7695,,
1292,89.89362,,
1291,90.0062,,
1290,90.11083,,
1289,90.21399,,
1288,90.29672,,
1287,90.36525,,
1286,90.422,,
1285,90.44874,,
1284,90.44978,,
1283,90.42342,,
1282,90.40463,,
1281,90.37916,,
1280,90.3204,,
1279,90.24233,,
1278,90.1652,,
1277,90.06271,,
1276,89.94971,,
1275,89.83449,,
1274,89.71717,,
1273,89.59592,,
1272,89.45567,,
1271,89.32059,,
1270,89.19037,,
1269,89.06615,,
1268,88.93582,,
1267,88.81284,,
1266,88.70588,,
1265,88.60497,,
1264,88.51269,,
1263,88.43126,,
1262,88.36958,,
1261,88.32242,,
1260,88.28376,,
1259,88.26918,,
1258,88.26319,,
1257,88.27185,,
1256,88.2969,,
1255,88.33413,,
1254,88.389,,
1253,88.45998,,
1252,88.54559,,
1251,88.62681,,
1250,88.72739,,
1249,88.84576,,
1248,88.96391,,
1247,89.09653,,
1246,89.23389,,
1245,89.35817,,
1244,89.47471,,
1243,89.59524,,
1242,89.71825,,
1241,89.81159,,
1240,89.92079,,
1239,90.02923,,
1238,90.13117,,
1237,90.22071,,
1236,90.26147,,
1235,90.27213,,
1234,90.29813,,
1233,90.31469,,
1232,90.30506,,
1231,90.28745,,
1230,90.24336,,
1229,90.18912,,
1228,90.14129,,
1227,90.05849,,
1226,89.95455,,
1225,89.86724,,
1224,89.73819,,
1223,89.57204,,
1222,89.46593,,
1221,89.36285,,
1220,89.23246,,
1219,89.08514,,
1218,88.96807,,
1217,88.84537,,
1216,88.76254,,
1215,88.67858,,
1214,88.57673,,
1213,88.48252,,
1212,88.40904,,
1211,88.35696,,
1210,88.32578,,
1209,88.30946,,
1208,88.30202,,
1207,88.29083,,
1206,88.28867,,
